Product,Quantity,UnitPrice,PaymentType,TransactionID,TotalPrice,Customer_id,Gender,sale_date,
Tablet,3,364.22,Gift Card,TX300000,1092.66,117,Male,2022-11-08,
Printer,9,384.74,Online,TX300001,3462.66,52,Male,2022-07-09,
Laptop,9,397.8,Debit Card,TX300002,3580.2,5,Female,2022-12-12,
Monitor,7,80.27,Online,TX300003,561.89,85,Male,2022-01-06,
Monitor,10,214.03,Gift Card,TX300004,2140.3,48,Male,2022-11-14,
Desk,7,51.37,Cash,TX300005,359.59,49,Female,2022-08-20, 
Monitor,9,8.32,Debit Card,TX300006,74.88,144,Female,2022-10-31,
Chair,2,188.93,Cash,TX300007,377.86,54,Male,2022-04-22,
Phone,1,202.95,Credit Card,TX300008,202.95,66,Female,2022-04-08,
Chair,5,142.04,Online,TX300009,710.2,6,Female,2022-05-18,
Monitor,8,97.52,Online,TX300010,780.16,120,Female,2022-05-04,
Desk,2,230.96,Online,TX300011,461.92,58,Male,2022-03-19,
Phone,8,201.35,Gift Card,TX300012,1610.8,59,Female,2022-01-17,
Laptop,10,40.96,Debit Card,TX300013,409.6,102,Female,2022-08-17,
Monitor,1,88.74,Credit Card,TX300014,88.74,137,Female,2022-12-18,
Printer,5,362.03,Debit Card,TX300015,1810.15,101,Female,2022-11-23,
Chair,3,26.78,Debit Card,TX300016,80.34,150,Male,2022-07-16,
Tablet,3,11.95,Credit Card,TX300017,35.85,50,Female,2022-07-09,
Desk,3,267.06,Credit Card,TX300018,801.18,82,Male,2022-03-06,
Desk,3,297.14,Debit Card,TX300019,891.42,1,Male,2022-04-01,
Printer,7,206.04,Cash,TX300020,1442.28,12,Female,2022-01-29,
Monitor,8,289.99,Gift Card,TX300021,2319.92,98,Male,2022-05-04,
Printer,1,78.56,Online,TX300022,78.56,123,Female,2022-12-30,
Phone,5,341.68,Online,TX300023,1708.4,68,Male,2022-03-25,
Printer,5,347.45,Cash,TX300024,1737.25,17,Female,2022-03-10,
Laptop,9,248.76,Online,TX300025,2238.84,16,Female,2022-04-15,
Laptop,2,254.98,Online,TX300026,509.96,130,Male,2022-03-01,
Printer,3,219.6,Debit Card,TX300027,658.8,67,Female,2022-12-25,
Chair,6,311.11,Cash,TX300028,1866.66,89,Female,2022-04-13,
Laptop,5,41.09,Gift Card,TX300029,205.45,25,Male,2022-10-27,
Phone,6,193.95,Gift Card,TX300030,1163.7,77,Female,2022-08-22,
Chair,1,177.74,Credit Card,TX300031,177.74,94,Male,2022-05-24,
Phone,1,152.05,Debit Card,TX300032,152.05,116,Male,2022-09-16,
